"Situação","Macroprocesso","Tipo documental","id","AÇÃO"
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Manual de procedimento de estimativa de reservas","10168"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Manual de orientação do ciclo de reservas","10170"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Parecer técnico sobre estimativa de reservas de campos de petróleo e gás","10173"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Parecer sobre teste de impairment de campos de petróleo e gás","10177"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório do resultado da estimativa de reservas pelo critério Agência Nacional de Petróleo","10181"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório do resultado da estimativa de reservas pelo critério da Securities and Exchange Commission","10183"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Plano de aquisição de dados de reservatório","10184"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","ISA de divulgação do processo de certificação de reservas","10188"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Parecer técnico de avaliação de reservatórios","10189"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Proposta de metodologia para comparação de valor da informação entre estratégias de monitoramento sísmico","10196"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório de estudo de viabilidade técnica para projetos de aquisição sísmica 4D para reservatórios","10201"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Tabela de teste de acompanhamento da produção","10204"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório de validação de intervalo canhoneado","10206"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório de perfilagem de produção","10213"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha de acompanhamento da carteira corporativa de aquisição e processamento geofísicos para reservatórios","10214"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha de dados do boletim anual de reservas e recursos","10217"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Fluxograma de processos para aquisição e processamento para reservatórios","10218"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha com informação de área de campos de petróleo e gás","10219"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha para geração de gráfico de reservas de petróleo e gás","10223"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Tabela de identificação de intervalos com potencial de fluxo nos poços","10225"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha com histórico de reservas provadas no Brasil","10226"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Padrão de estudo de geofísica de poço","10227"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha de informação das reservas provadas de óleo e gás","10231"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Matriz de risco de potencial de fluxo","10236"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha de informação dos eventos de reservas de óleo e gás","10237"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha de informação dos volumes de reservas de óleo e gás","10242"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Parecer técnico de modelo de reservatórios","10243"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha de fluxo de caixa futuros dos campos de reserva","10245"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório de informação de reservas de óleo e gás para demonstrações financeiras","10249"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Cronograma de capacitação de geofísicos de reservatório","10252"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","ISA de informação de reservas para depleção, depreciação e amortização","10257"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha de informação de reservas provadas","10258"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Curva de previsão de movimentação de gás","10262"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Programa de treinamento de avaliação de reservatórios","10264"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha de informação de reservas provadas e prováveis","10266"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Convite de reunião para participação de grupos de revisão de reservatórios","10270"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório com informação de reservas","10273"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Gráfico do monitoramento da atividade de aquisição e processamento sísmico para reservatórios","10278"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Convite para reunião do comitê consultivo de treinamento em geofísica de reservatórios","10286"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório de estudo de viabilidade técnica para projeto de sistema de monitoramento sísmico 4D","10289"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Ata de reunião de projeto de pesquisa e desenvolvimento estratégico","10294"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório de avaliação petrofísica","10295"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha para avaliação de alteração das unidades geradoras de caixa","10296"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Questionário de indicação de desvalorização de uma unidade geradora de caixa","10297"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório de avaliação de teste em poço","10299"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Nota técnica de alteração de unidade geradora de caixa","10308"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha com resultado de teste de impairment","10312"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","ISA de apresentação de orientações e diretrizes para testes de impairment","10316"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Especificação Técnica para registro das bases de projeto para as instalações submarinas para desenvolvimento","10327"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Plano de desenvolvimento de campo","10335"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório de estudo de modelagem petrogeofísica","10347"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório da análise de riscos geológicos e geomecânicos da locação","10348"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório de estudo de modelagem de aquisições sísmicas","10349"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório técnico de estudo de gerenciamento de reservatórios e monitoramento de reservatório permanente","10352"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Tabela de caracterização de intervalos permoporosos","10354"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório de estudo de análise de incertezas sísmicas de reservatório","10356"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório de estudo de inversão sísmica","10359"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório de estudo de interpretações sísmicas 3D e 4D","10361"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório de estudo de modelagem geológica de velocidades","10363"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório de estudo de modelagem para aquisição sísmica multicomponentes","10366"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório de previsão de composição de gás e condensado","10367"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório técnico de gerenciamento de reservatórios","10386"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Parecer técnico de gerenciamento de reservatórios","10390"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Padrão de estrutura de geomecânica e geologia para reservatórios","10391"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Ata de reunião de Comissão de Intervenção em Poços","10394"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Nota técnica de modelo de reservatórios para abandono de poço","10422"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Formulário de resultado de poço","10426"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Parecer técnico de modelo de geomecânica de reservatórios","10431"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Nota técnica de definição de limites operacionais geomecânicos de reservatórios","10432"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Fluxograma de pesquisa em geomecânica e geologia estrutural","10442"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha para cadastro de zona de produção","10449"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha para cadastro de reservatório","10456"," "
